ensembl_gene_id,ensembl_transcript_id,chromosome_name,start_position,end_position,hgnc_symbol,hgnc_id,strand,gene_biotype
ENSG00000251972,ENST00000516163,21,25943044,25943145,RNU6-123P,HGNC:47086,-1,snRNA
ENSG00000274046,ENST00000617336,21,7092616,7092716,,,1,misc_RNA
ENSG00000278618,ENST00000621412,21,13724189,13724274,MIR8069-2,HGNC:50836,1,miRNA
ENSG00000284448,ENST00000290239,21,33550662,33550728,MIR6501,HGNC:50033,1,miRNA
ENSG00000275708,ENST00000615959,21,8208473,8208652,MIR3648-1,HGNC:38941,1,miRNA
ENSG00000202339,ENST00000365469,21,22205192,22205332,RNU4-45P,HGNC:46981,1,snRNA
ENSG00000207098,ENST00000384370,21,32841861,32841995,,,-1,snoRNA
ENSG00000283300,ENST00000637157,21,28743208,28743291,,,1,snRNA
ENSG00000160185,ENST00000635189,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000291535,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000635108,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000635325,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000634453,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000634718,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000319294,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000398367,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160185,ENST00000473381,21,42403447,42447681,UBASH3A,HGNC:12462,1,protein_coding
ENSG00000160284,ENST00000330205,21,46161148,46184476,SPATC1L,HGNC:1298,-1,protein_coding
ENSG00000160284,ENST00000291672,21,46161148,46184476,SPATC1L,HGNC:1298,-1,protein_coding
ENSG00000185433,ENST00000441013,21,25385820,25431701,LINC00158,HGNC:1283,-1,lincRNA
ENSG00000185433,ENST00000332587,21,25385820,25431701,LINC00158,HGNC:1283,-1,lincRNA
ENSG00000185433,ENST00000440205,21,25385820,25431701,LINC00158,HGNC:1283,-1,lincRNA
ENSG00000185433,ENST00000439840,21,25385820,25431701,LINC00158,HGNC:1283,-1,lincRNA
ENSG00000280013,ENST00000623928,21,6008604,6008810,,,1,processed_pseudogene
ENSG00000279784,ENST00000623587,21,5705345,5707160,,,1,lincRNA
ENSG00000215351,ENST00000448832,21,20828127,20828622,PPIAP1,HGNC:9254,-1,processed_pseudogene
ENSG00000280071,ENST00000624810,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000625036,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000620015,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000620528,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000624120,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000624748,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000624648,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000623810,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000624714,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000623390,21,5079294,5128425,,,-1,protein_coding
ENSG00000280071,ENST00000622915,21,5079294,5128425,,,-1,protein_coding
ENSG00000251778,ENST00000515969,21,41882205,41882300,,,1,snoRNA
ENSG00000252199,ENST00000516390,21,9907916,9908010,,,1,snoRNA
ENSG00000202239,ENST00000365369,21,46525618,46525722,RNU6-396P,HGNC:47359,1,snRNA
ENSG00000265007,ENST00000581194,21,30375294,30375378,MIR4327,HGNC:38355,-1,miRNA
ENSG00000278233,ENST00000612463,21,8212572,8212724,RNA5-8S5,HGNC:37660,1,rRNA
ENSG00000278233,ENST00000612463,21,8212572,8212724,RNA5-8S4,HGNC:44285,1,rRNA
ENSG00000278233,ENST00000612463,21,8212572,8212724,RNA5-8SN1,HGNC:53517,1,rRNA
ENSG00000278233,ENST00000612463,21,8212572,8212724,RNA5-8SN2,HGNC:53521,1,rRNA
ENSG00000278233,ENST00000612463,21,8212572,8212724,RNA5-8SN3,HGNC:53525,1,rRNA
ENSG00000278233,ENST00000612463,21,8212572,8212724,RNA5-8SN4,HGNC:53529,1,rRNA
ENSG00000278233,ENST00000612463,21,8212572,8212724,RNA5-8SN5,HGNC:53533,1,rRNA
ENSG00000272015,ENST00000606322,21,38894785,38894867,,,1,snoRNA
ENSG00000277379,ENST00000622482,21,8388362,8388453,MIR6724-3,HGNC:50842,1,miRNA
ENSG00000223078,ENST00000411146,21,23281736,23281909,RNU2-55P,HGNC:48548,-1,snRNA
ENSG00000275950,ENST00000616420,21,8205315,8205406,MIR6724-1,HGNC:50837,1,miRNA
ENSG00000212479,ENST00000391177,21,29180425,29180639,,,-1,snoRNA
ENSG00000276902,ENST00000615262,21,6365955,6366055,,,1,misc_RNA
ENSG00000200792,ENST00000363922,21,32377187,32377322,SNORA80A,HGNC:32666,-1,snoRNA
ENSG00000239023,ENST00000458992,21,16718998,16719157,RNU1-98P,HGNC:48440,1,snRNA
ENSG00000275523,ENST00000611656,21,39447010,39447069,MIR6508,HGNC:50217,1,miRNA
ENSG00000277671,ENST00000618423,21,8250060,8250149,,,1,misc_RNA
ENSG00000221398,ENST00000408471,21,34456110,34456237,,,-1,snoRNA
ENSG00000278775,ENST00000619112,21,8433085,8433174,,,1,misc_RNA
ENSG00000236545,ENST00000458654,21,41870633,41872054,,,1,antisense_RNA
ENSG00000240770,ENST00000430815,21,17763315,17792523,C21orf91-OT1,HGNC:16729,-1,lincRNA
ENSG00000240770,ENST00000430401,21,17763315,17792523,C21orf91-OT1,HGNC:16729,-1,lincRNA
ENSG00000240770,ENST00000439392,21,17763315,17792523,C21orf91-OT1,HGNC:16729,-1,lincRNA
ENSG00000154639,ENST00000284878,21,17512382,17593579,CXADR,HGNC:2559,1,protein_coding
ENSG00000154639,ENST00000400166,21,17512382,17593579,CXADR,HGNC:2559,1,protein_coding
ENSG00000154639,ENST00000356275,21,17512382,17593579,CXADR,HGNC:2559,1,protein_coding
ENSG00000154639,ENST00000400165,21,17512382,17593579,CXADR,HGNC:2559,1,protein_coding
ENSG00000154639,ENST00000400169,21,17512382,17593579,CXADR,HGNC:2559,1,protein_coding
ENSG00000232886,ENST00000430064,21,16862875,16873691,,,-1,lincRNA
ENSG00000160224,ENST00000530812,21,44285838,44298648,AIRE,HGNC:360,1,protein_coding
ENSG00000160224,ENST00000527919,21,44285838,44298648,AIRE,HGNC:360,1,protein_coding
ENSG00000160224,ENST00000291582,21,44285838,44298648,AIRE,HGNC:360,1,protein_coding
ENSG00000160224,ENST00000397994,21,44285838,44298648,AIRE,HGNC:360,1,protein_coding
ENSG00000160224,ENST00000337909,21,44285838,44298648,AIRE,HGNC:360,1,protein_coding
ENSG00000157557,ENST00000360214,21,38805307,38824955,ETS2,HGNC:3489,1,protein_coding
ENSG00000157557,ENST00000360938,21,38805307,38824955,ETS2,HGNC:3489,1,protein_coding
ENSG00000157557,ENST00000432278,21,38805307,38824955,ETS2,HGNC:3489,1,protein_coding
ENSG00000157557,ENST00000456966,21,38805307,38824955,ETS2,HGNC:3489,1,protein_coding
ENSG00000226298,ENST00000454157,21,15694300,15696581,RAD23BP3,HGNC:9814,-1,processed_pseudogene
ENSG00000229986,ENST00000416842,21,38846247,38848644,,,1,lincRNA
ENSG00000229925,ENST00000434589,21,38888772,38903905,,,1,lincRNA
ENSG00000227721,ENST00000451820,21,38894917,38895252,RPSAP64,HGNC:39642,1,processed_pseudogene
ENSG00000205622,ENST00000626259,21,38863676,38956467,,,-1,lincRNA
ENSG00000205622,ENST00000380931,21,38863676,38956467,,,-1,lincRNA
ENSG00000205622,ENST00000415824,21,38863676,38956467,,,-1,lincRNA
ENSG00000205622,ENST00000440379,21,38863676,38956467,,,-1,lincRNA
ENSG00000205622,ENST00000623098,21,38863676,38956467,,,-1,lincRNA
ENSG00000205622,ENST00000613045,21,38863676,38956467,,,-1,lincRNA
ENSG00000205622,ENST00000615324,21,38863676,38956467,,,-1,lincRNA
ENSG00000155313,ENST00000285679,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000351097,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000285681,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000547201,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000549362,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000464435,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000453553,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000449491,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000478932,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
ENSG00000155313,ENST00000400183,21,15730025,15880069,USP25,HGNC:12624,1,protein_coding
